ID,target_var,segment,MARITAL_STATUS,GNDR_CD,TTL_ASSET_AMT,age_n,tenure,FIRMS_BUSINESS_SEGMENT,login,Part_Category
213,0,4-High,Married,M,104983.81,39.41643836,18.08631634,Select,6,Unengaged
214,0,1-Very Low,Married,U,11614.56,54.83013699,7.732240437,Select,2,DIFM
215,0,3-Mid,Single,M,41883.01,64.77534247,14.03700127,Select,330,DIFM
216,1,2-Low,Married,U,25084.62,29.78630137,7.948087432,Select,1350,Unengaged
217,0,2-Low,Married,F,8183.67,34.16438356,2.557549218,Select,14,DIFM
218,0,2-Low,Single,M,11152.03,43.0520548,14.66439853,Select,0,DIFM
223,1,3-Mid,Married,F,33352.87,66.89315069,7.636612022,Strategic,4,Engaged
224,0,3-Mid,Married,F,33567.66,50.48493151,17.56302867,Strategic,64,Engaged
225,0,4-High,Married,F,130925.44,51.34520548,20.33060109,Strategic,112,Engaged
226,1,4-High,Single,M,277078.91,64.62739726,28.84248073,Strategic,600,Engaged
227,0,2-Low,Single,F,3313.77,41.2739726,11.85245902,Strategic,332,Engaged
228,0,2-Low,Married,M,40316.25,40.28493151,7.789617486,Strategic,2,DIFM
229,0,2-Low,Married,F,2491.59,44.41369863,17.02604237,Strategic,12,Engaged
230,1,5-Very High,Married,M,474796.34,46.03287671,27.83606557,Strategic,66,Engaged
231,0,5-Very High,Married,F,437174.48,58.64931507,28.66165881,Strategic,8,DIFM
232,0,4-High,Married,F,216045.87,56.30958904,27.35754922,Strategic,28,DIFM
233,0,4-High,Married,M,28132.88,50.32054795,26.91645333,Strategic,82,Unengaged
234,0,4-High,Married,F,200739.47,35.83287671,9.130151958,Strategic,6,Engaged
235,0,5-Very High,Married,M,401910.89,46.83013699,21.20412456,Strategic,16,Engaged
236,0,2-Low,Married,M,4706.24,42.2520548,8.741110862,Strategic,38,Engaged
237,0,4-High,Single,F,157009.82,43.09041096,17.12193278,Select,48,Engaged
238,0,5-Very High,Married,M,956868.39,63.0739726,24.24590164,Select,682,Engaged
239,0,4-High,Married,M,279545.31,50.06575343,10.20412456,Select,12,Engaged
240,0,3-Mid,Married,F,51337.21,48.71232877,14.1137136,Select,26,Engaged
241,0,3-Mid,Married,F,95636.03,51.82191781,32.2295082,Select,8,DIFM
242,0,5-Very High,Single,F,521848.96,62.09315069,17.36302867,Select,4,DIFM
243,0,4-High,Single,M,135577.82,33.36438356,10.56850812,Select,18,Engaged
244,0,4-High,Single,F,159039.9,46.39178082,15.60928962,Select,2,Unengaged
245,0,3-Mid,Married,M,85560.44,53.56164384,9.897275245,Select,8,Engaged
246,0,2-Low,Single,F,80592.52,37.30684932,12.33060109,Select,10,Engaged
247,0,4-High,Single,F,188478.75,54.86575343,10.9137136,Select,0,DIFM
248,0,4-High,Married,F,102145.89,52.63013699,13.02056292,Select,180,Engaged
249,0,4-High,Single,F,157579.36,63.95890411,7.426042368,Select,132,Engaged
250,0,4-High,Married,M,134392.82,50.5260274,8.995905382,Select,2,Engaged
251,0,4-High,Married,M,137420.15,62.73424658,20.32240437,Select,332,Engaged
252,0,2-Low,Single,F,54287.03,48.6,11.33563141,Select,38,Engaged
253,0,4-High,Married,M,165472.34,61.65753425,9.354809492,Select,16,DIFM
254,1,5-Very High,Single,M,815667.41,56.73150685,30.039741,Select,252,Engaged
255,0,3-Mid,Married,M,40761.98,43.7890411,12.75206977,Select,66,Engaged
256,0,3-Mid,Single,F,70203.29,40.96438356,12.53015196,Select,162,Engaged
257,0,3-Mid,Married,M,42452.28,36.66027397,11.18220675,Large,392,Engaged
258,0,3-Mid,Single,F,38385.25,34.46027397,11.41234374,Large,20,DIFM
259,0,4-High,Married,M,224854.86,50.15342466,12.65617936,Large,52,Engaged
260,0,3-Mid,Married,U,23265.53,49.12328767,15.87704918,Large,238,Engaged
261,0,3-Mid,Single,F,2432.07,52.87671233,10.85617936,Advisor,28,Engaged
262,0,5-Very High,Single,M,599652.52,55.23013699,16.79590538,Large,14,
263,1,5-Very High,Married,M,884615.7,60.57260274,29.60686429,Large,30,
264,0,2-Low,Married,M,94985.81,47.55342466,14.28631634,Select,452,Engaged
265,1,5-Very High,Married,M,936387.21,57.95890411,16.16393443,Select,502,Engaged
266,0,5-Very High,Single,M,475734.16,51.53424658,10.66439853,Select,22,Engaged
267,1,4-High,Married,F,248207.65,56.89041096,30.38494648,Select,8,Engaged
268,0,2-Low,Married,F,69382.76,41.55616438,16.06830601,Select,6,Engaged
269,1,5-Very High,Married,M,552798.82,47.01369863,22.59590538,Select,20,Engaged
270,1,4-High,Married,M,175664.17,60.62739726,16.24043716,Select,164,Engaged
271,0,3-Mid,Single,F,44902.51,46.16712329,16.48907104,Select,10,Engaged
272,0,4-High,Single,M,287694.52,62.57808219,20.81782319,Select,372,Engaged
273,1,3-Mid,Single,F,81433.84,55.6,15.50819672,Select,86,Engaged
274,0,4-High,Single,F,180486.37,47.4739726,28.84248073,Select,10,Engaged
275,1,5-Very High,Married,M,480012.4,48.37260274,23.25617936,Select,10,Engaged
276,0,4-High,Married,M,251505.51,51.04931507,24.66439853,Select,14,Engaged
277,0,3-Mid,Single,F,69554.8,58.0739726,16.01092896,Select,68,DIFM
278,1,4-High,Single,F,262341.38,52.26849315,11.20138483,Select,16,Engaged
279,0,3-Mid,Married,F,55811.13,48.72328767,20.21857924,Select,0,Engaged
280,1,4-High,Married,M,331144.05,52.33972603,23.32467251,Select,20,Engaged
281,1,5-Very High,Married,M,896958.38,60.90410959,35.26713826,Select,108,Engaged
282,0,3-Mid,Married,F,81505.33,56.07945206,13.9027547,Select,24,Engaged
283,1,4-High,Married,F,219390.84,57.01643836,38.19316566,Select,4,Engaged
284,0,5-Very High,Married,M,345505.25,46.60273973,24.77946703,Select,14,Engaged
285,0,2-Low,Married,F,32115.4,48.50410959,24.20491803,Select,20,Engaged
286,0,4-High,Married,F,117953.76,59.03013699,36.94659031,Select,14,Engaged
287,1,5-Very High,Married,M,522870.64,61.64657534,40.07923497,Select,26,Engaged
288,0,2-Low,Married,F,102708.77,39.48493151,14.46987799,Select,14,Engaged
289,1,4-High,Married,F,149912.35,57.92054795,22.71645333,Select,230,Engaged
290,0,2-Low,Married,F,20497.6,42.60273973,16.11748634,Select,208,Engaged
291,0,3-Mid,Married,M,48924.84,55.98082192,8.491803279,Select,14,DIFM
292,0,3-Mid,Married,F,30234.37,54.22739726,32.77946703,Select,16,Engaged
293,0,4-High,Single,F,160328.73,49.84109589,27.15754922,Select,26,Engaged
294,0,3-Mid,Married,F,79160.62,42.7260274,16.21311475,Select,8,Engaged
295,1,4-High,Married,F,183663.13,64.29315069,45.81234374,Select,760,Engaged
296,0,4-High,Married,M,292199.79,51.11780822,28.80412456,Select,88,Engaged
297,0,5-Very High,Married,M,458929.64,58.3260274,31.42056292,Select,54,Engaged
298,0,3-Mid,Married,M,99938.4,51.66027397,32.80960401,Select,38,Engaged
299,1,5-Very High,Married,F,696946.22,56.30958904,34.02330264,Select,16,Engaged
300,1,3-Mid,Married,F,17521.35,60.69589041,7.168508122,Select,0,Engaged
301,1,4-High,Married,F,136448.97,58.09315069,15.12193278,Select,16,Engaged
302,0,4-High,Married,F,193017.02,51.99452055,27.11919305,Select,338,Engaged
303,0,2-Low,Single,F,22226.2,35.33150685,9.352069766,Select,8,Engaged
304,0,4-High,Married,F,142533.45,51.81369863,25.6506999,Select,10,Engaged
305,1,4-High,Single,F,110657.99,60.16712329,18.95480949,Select,18,Engaged
306,0,3-Mid,Married,M,59914.36,42.06575343,11.19316566,Select,14,Engaged
307,1,5-Very High,Married,M,781393.49,59.82465753,40.06284153,Select,528,Engaged
308,0,4-High,Married,M,107992.2,43.63561644,23.24796018,Select,26,Engaged
309,0,5-Very High,Married,M,355688.53,60.52876712,32.39617486,Select,376,Engaged
310,0,4-High,Married,M,310782.48,58.77260274,29.1767273,Select,42,Engaged
311,0,4-High,Single,F,176661.95,54.60821918,31.76502732,Select,22,Engaged
312,0,4-High,Married,F,236920.9,37.35890411,14.7657684,Select,14,Engaged
313,0,3-Mid,Married,M,77763.72,57.88767123,12.68631634,Select,24,Engaged
314,1,4-High,Married,F,331112.54,58.52328767,32.90549442,Select,40,Engaged
315,0,5-Very High,Married,F,401564.74,45.88219178,18.73289168,Select,14,Engaged
316,1,5-Very High,Married,F,564129.27,57.16712329,28.83152182,Select,824,Engaged
317,0,3-Mid,Married,M,98192.47,56.54246575,25.32467251,Select,104,Engaged
318,0,4-High,Married,F,138553.84,52.91780822,13.74111086,Select,34,Engaged
319,0,3-Mid,Single,F,78397.25,60.95068493,21.40960401,Select,12,Engaged
320,0,3-Mid,Single,F,55240.43,52.36712329,27.10823415,Select,20,DIFM
321,0,3-Mid,Married,M,18562.67,61.45479452,9.475357437,Select,16,Engaged
322,1,4-High,Married,F,189549.08,60.62739726,24.32786885,Select,32,Engaged
323,0,4-High,Married,F,290362.76,45.87945206,19.59562842,Select,20,Engaged
324,0,3-Mid,Married,F,22873.98,59.26849315,10.85617936,Select,8,Engaged
325,0,4-High,Married,M,168884.29,52.8,20.49180328,Select,8,Engaged
326,1,5-Very High,Married,M,521345.36,56.19178082,29.84796018,Select,26,Engaged
327,0,4-High,Married,M,275496.11,56.07123288,17.48083689,Select,280,Engaged
328,0,4-High,Married,M,126148.5,58.47123288,29.74385059,Select,4,Engaged
329,1,5-Very High,Single,M,459866.51,48.50410959,29.09453552,Select,18,Engaged
330,0,2-Low,Single,F,1643.08,45.94246575,16.68083689,Select,6,Engaged
331,1,4-High,Single,F,134620.9,51.36438356,30.38494648,Select,234,Engaged
332,0,4-High,Married,F,254595.88,53.82191781,28.63426155,Select,6,Unengaged
333,0,5-Very High,Married,M,375057.08,51.05479452,32.83700127,Select,46,Engaged
334,0,5-Very High,Married,F,461539.12,50.51232877,31.91256831,Select,24,Engaged
335,0,5-Very High,Married,M,514279.36,54.52328767,30.17398757,Select,32,Engaged
336,0,4-High,Married,M,111063.84,46.80273973,6.39042593,Select,4,Engaged
337,0,3-Mid,Married,M,48403.57,39.50684932,15.43700127,Select,34,Engaged
338,1,3-Mid,Single,M,62324.92,55.01917808,15.51092896,Select,1086,Unengaged
339,0,5-Very High,Married,M,555304.59,52.39726027,35.7704918,Select,12,Engaged
340,0,4-High,Single,M,124460.72,49.94794521,16.8506999,Select,18,Engaged
341,0,5-Very High,Single,M,487277.25,46.43013699,23.82786885,Select,52,Unengaged
342,0,4-High,Married,M,172447.46,41.46027397,18.41508346,Select,6,DIFM
